index,Image reference,Coder name,Coding date,Road survey date,Road name,Section,Distance,Length,Latitude start,Longitude start,Landmark,Comments,Carriageway,Upgrade cost,Motorcycle observed flow,Bicycle observed flow,Pedestrian observed flow across the road,Pedestrian observed flow along the road driver-side,Pedestrian observed flow along the road passenger-side,Land use - driver-side,Land use - passenger-side,Area type,Speed limit,Motorcycle speed limit,Truck speed limit,Differential speed limits,Median type,Centreline rumble strips,Roadside severity - driver-side distance,Roadside severity - driver-side object,Roadside severity - passenger-side distance,Roadside severity - passenger-side object,Shoulder rumble strips,Paved shoulder - driver-side,Paved shoulder - passenger-side,Intersection type,Intersection channelisation,Intersecting road volume,Intersection quality,Property access points,Number of lanes,Lane width,Curvature,Quality of curve,Grade,Road condition,Skid resistance / grip,Delineation,Street lighting,Pedestrian crossing facilities - inspected road,Pedestrian crossing quality,Pedestrian crossing facilities - intersecting road,Pedestrian fencing,Speed management / traffic calming,Vehicle parking,Sidewalk - driver-side,Sidewalk - passenger-side,Service road,Facilities for motorised two wheelers,Facilities for bicycles,Roadworks,Sight distance,Vehicle flow (AADT),Motorcycle %,Pedestrian peak hour flow across the road,Pedestrian peak hour flow along the road driver-side,Pedestrian peak hour flow along the road passenger-side,Bicycle peak hour flow,Operating Speed (85th percentile),Operating Speed (mean),Roads that cars can read,Vehicle Occupant Star Rating Policy Target,Motorcycle Star Rating Policy Target,Pedestrian Star Rating Policy Target,Bicycle Star Rating Policy Target,Annual Fatality Growth Multiplier,School zone warning,School zone crossing supervisor,Latitude end,Longitude end,route,control,control_name,km_start_fraction,km_end_fraction,image_id
247,['51700_51800_37395_1.jpg'],staff_cu,08/12/2023,,1,202,0.1,12.7,14.16697678,100.6181041,,5962,1,3,1,1,1,1,1,1,1,2,19,13,11,2,1,1,1,1,2,12,1,3,3,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,111455,3,1,1,1,2,13,10,1,1,3,3,3,1,4,3,14.16742851,100.6181359,1,202,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸„à¸¥à¸­à¸‡à¸«à¸¥à¸§à¸‡ - à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ,51700,51800,972
248,"['51820_51900_37515_1.jpg', '51820_51900_37515_2.jpg', '51820_51900_37515_3.jpg', '51820_51900_37515_4.jpg']",staff_cu,07/12/2023,,1,301,0.08,0,14.16797658,100.6180947,,11862,1,2,1,1,1,1,1,1,1,2,13,13,11,1,1,1,1,1,2,12,1,3,3,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.1683446,100.6181279,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,51820,51900,973
249,"['51900_52000_37516_1.jpg', '51900_52000_37516_2.jpg', '51900_52000_37516_3.jpg', '51900_52000_37516_4.jpg']",staff_cu,07/12/2023,,1,301,0.1,0.08,14.16880401,100.6180883,,11862,1,2,1,1,1,1,1,1,1,2,13,13,11,1,1,1,1,1,2,12,1,3,3,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.16926406,100.61812,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,51900,52000,977
250,"['52000_52100_37517_1.jpg', '52000_52100_37517_2.jpg', '52000_52100_37517_3.jpg', '52000_52100_37517_4.jpg']",staff_cu,07/12/2023,,1,301,0.1,0.18,14.16972345,100.6180792,,11862,1,2,1,1,1,1,1,1,1,2,13,13,11,1,1,1,1,1,4,17,1,3,3,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.17018351,100.6181126,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,52000,52100,981
251,"['52100_52200_37518_1.jpg', '52100_52200_37518_2.jpg', '52100_52200_37518_3.jpg', '52100_52200_37518_4.jpg']",staff_cu,07/12/2023,,1,301,0.1,0.28,14.17064284,100.6180726,,11862,1,2,1,1,1,1,1,1,1,2,13,13,11,1,1,1,1,1,3,12,1,3,2,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.17110296,100.6181044,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,52100,52200,985
252,"['52200_52300_37519_1.jpg', '52200_52300_37519_2.jpg', '52200_52300_37519_3.jpg', '52200_52300_37519_4.jpg']",staff_cu,07/12/2023,,1,301,0.1,0.38,14.17156221,100.6180648,,11862,1,2,1,1,1,1,1,1,1,2,13,13,11,1,1,1,1,1,4,17,1,3,3,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.17202243,100.6180979,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,52200,52300,989
253,"['52300_52400_37520_1.jpg', '52300_52400_37520_2.jpg', '52300_52400_37520_3.jpg', '52300_52400_37520_4.jpg']",staff_cu,07/12/2023,,1,301,0.1,0.48,14.17248174,100.618057,,11862,1,2,1,1,1,1,1,1,1,2,13,13,11,1,1,1,1,1,3,11,1,3,3,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.17294187,100.6180893,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,52300,52400,993
254,"['52400_52500_37521_1.jpg', '52400_52500_37521_2.jpg', '52400_52500_37521_3.jpg', '52400_52500_37521_4.jpg']",staff_cu,07/12/2023,,1,301,0.1,0.58,14.17340232,100.6180521,,11862,1,2,1,1,1,1,1,1,1,2,13,13,11,1,6,1,1,15,3,12,1,3,3,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.17386086,100.6180863,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,52400,52500,997
255,"['52500_52600_37522_1.jpg', '52500_52600_37522_2.jpg', '52500_52600_37522_3.jpg', '52500_52600_37522_4.jpg']",staff_cu,07/12/2023,,1,301,0.1,0.68,14.17432019,100.6180355,,11862,1,2,1,1,1,1,1,1,1,2,13,13,11,1,1,1,1,1,3,2,1,3,3,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.17477988,100.6180779,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,52500,52600,1001
256,"['52600_52700_37523_1.jpg', '52600_52700_37523_2.jpg', '52600_52700_37523_3.jpg', '52600_52700_37523_4.jpg']",staff_cu,07/12/2023,,1,301,0.1,0.78,14.17524183,100.6180689,,11862,1,2,1,1,1,1,1,1,1,2,13,13,11,1,1,1,1,1,3,2,1,3,3,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.17569534,100.6181579,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,52600,52700,1005
257,"['52700_52800_37524_1.jpg', '52700_52800_37524_2.jpg', '52700_52800_37524_3.jpg', '52700_52800_37524_4.jpg']",staff_cu,07/12/2023,,1,301,0.1,0.88,14.17615584,100.6181972,,11862,1,2,1,1,1,1,1,1,1,2,13,13,11,1,1,1,1,1,3,1,1,3,3,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.17659749,100.6183328,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,52700,52800,1009
258,"['52800_52900_37525_1.jpg', '52800_52900_37525_2.jpg', '52800_52900_37525_3.jpg', '52800_52900_37525_4.jpg']",staff_cu,07/12/2023,,1,301,0.1,0.98,14.17705085,100.6184234,,11862,1,2,1,1,1,1,1,1,1,2,13,13,11,1,1,1,1,1,3,1,1,3,3,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.17747572,100.6186039,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,52800,52900,1013
259,"['52900_53000_37526_1.jpg', '52900_53000_37526_2.jpg', '52900_53000_37526_3.jpg', '52900_53000_37526_4.jpg']",staff_cu,07/12/2023,,1,301,0.1,1.08,14.17791606,100.6187426,,11862,1,2,1,1,1,1,1,1,1,2,13,13,11,1,1,1,1,1,1,12,1,3,3,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.17831831,100.6189708,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,52900,53000,1017
260,"['53000_53100_37527_1.jpg', '53000_53100_37527_2.jpg', '53000_53100_37527_3.jpg', '53000_53100_37527_4.jpg']",staff_cu,07/12/2023,,1,301,0.1,1.18,14.1787402,100.6191587,,11862,1,2,1,1,1,1,1,1,1,2,13,13,11,1,1,1,1,12,2,15,1,3,2,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.17911614,100.6194272,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,53000,53100,1021
261,"['53100_53200_37528_1.jpg', '53100_53200_37528_2.jpg', '53100_53200_37528_3.jpg', '53100_53200_37528_4.jpg']",staff_cu,07/12/2023,,1,301,0.1,1.28,14.1795205,100.6196507,,11862,1,2,1,1,1,1,1,1,1,2,13,13,11,1,1,1,1,1,2,2,1,3,2,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.17987008,100.6199527,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,53100,53200,1025
262,"['53200_53300_37529_1.jpg', '53200_53300_37529_2.jpg', '53200_53300_37529_3.jpg', '53200_53300_37529_4.jpg']",staff_cu,07/12/2023,,1,301,0.1,1.38,14.18024646,100.6202203,,11862,1,2,1,1,1,1,1,1,4,2,13,13,11,1,1,1,1,1,2,2,1,3,3,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.18055946,100.6205604,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,53200,53300,1029
263,"['53300_53400_37530_1.jpg', '53300_53400_37530_2.jpg', '53300_53400_37530_3.jpg', '53300_53400_37530_4.jpg']",staff_cu,07/12/2023,,1,301,0.1,1.48,14.18090248,100.620868,,11862,1,2,1,1,1,1,1,1,4,2,13,13,11,1,1,1,1,1,2,2,1,3,2,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.18118335,100.6212353,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,53300,53400,1033
264,"['53400_53500_37531_1.jpg', '53400_53500_37531_2.jpg', '53400_53500_37531_3.jpg', '53400_53500_37531_4.jpg']",staff_cu,07/12/2023,,1,301,0.1,1.58,14.18149609,100.6215748,,11862,1,2,1,1,1,1,1,1,4,2,13,13,11,1,1,1,1,1,2,2,1,3,2,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.18172791,100.6219753,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,53400,53500,1037
265,"['53500_53600_37532_1.jpg', '53500_53600_37532_2.jpg', '53500_53600_37532_3.jpg', '53500_53600_37532_4.jpg']",staff_cu,07/12/2023,,1,301,0.1,1.68,14.18200683,100.6223438,,11862,1,2,1,1,1,1,1,1,4,2,13,13,11,1,1,1,1,1,2,15,1,3,2,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.18220547,100.6227607,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,53500,53600,1041
266,"['53600_53680_37533_1.jpg', '53600_53680_37533_2.jpg', '53600_53680_37533_3.jpg']",staff_cu,07/12/2023,,1,301,0.08,1.78,14.18241153,100.6230676,,11862,1,2,1,1,1,1,1,1,4,2,13,13,11,1,1,1,1,1,2,12,1,3,2,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,2,6,4,1,1,67846,2,1,1,1,1,13,11,1,1,3,3,3,1,4,3,14.18254872,100.6234112,1,301,à¸›à¸£à¸°à¸•à¸¹à¸™à¹‰à¸³à¸žà¸£à¸°à¸­à¸´à¸™à¸—à¸£à¹Œ - à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™,53600,53680,1045
267,['53680_53700_38099_1.jpg'],admin,23/02/2024,,1,302,0.02,0,14.18262359,100.6234754,,11863,1,2,1,1,1,1,1,1,1,2,13,13,11,1,1,1,1,1,2,15,1,3,2,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,68619,2,1,1,1,1,10,9,1,1,3,3,3,1,4,3,14.1826353,100.6235735,1,302,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™ - à¸«à¸™à¸­à¸‡à¹à¸„,53680,53700,1048
268,"['53700_53800_38100_1.jpg', '53700_53800_38100_2.jpg', '53700_53800_38100_3.jpg', '53700_53800_38100_4.jpg']",admin,23/02/2024,,1,302,0.1,0.02,14.1828843,100.6239618,,11863,1,2,1,1,1,1,1,1,1,2,13,13,11,1,1,1,1,1,2,2,1,3,2,1,1,6,1,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,68619,2,1,1,1,1,10,9,1,1,3,3,3,1,4,3,14.18306935,100.6243841,1,302,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™ - à¸«à¸™à¸­à¸‡à¹à¸„,53700,53800,1049
269,"['53800_53900_38101_1.jpg', '53800_53900_38101_2.jpg', '53800_53900_38101_3.jpg', '53800_53900_38101_4.jpg']",admin,23/02/2024,,1,302,0.1,0.12,14.18331803,100.6247724,,11863,1,2,1,1,1,1,1,1,3,2,13,13,11,1,1,1,1,1,2,12,1,3,2,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,68619,2,1,1,1,1,10,9,1,1,3,3,3,1,4,3,14.18350316,100.6251948,1,302,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™ - à¸«à¸™à¸­à¸‡à¹à¸„,53800,53900,1053
270,"['53900_54000_38102_1.jpg', '53900_54000_38102_2.jpg', '53900_54000_38102_3.jpg', '53900_54000_38102_4.jpg']",admin,23/02/2024,,1,302,0.1,0.22,14.18375364,100.6255821,,11863,1,2,1,1,1,1,1,1,1,2,13,13,11,1,1,1,1,1,3,12,1,3,2,1,1,4,1,4,4,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,68619,2,1,1,1,1,10,9,1,1,3,3,3,1,4,3,14.18393965,100.6260041,1,302,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™ - à¸«à¸™à¸­à¸‡à¹à¸„,53900,54000,1057
271,"['54000_54100_38103_1.jpg', '54000_54100_38103_2.jpg', '54000_54100_38103_3.jpg', '54000_54100_38103_4.jpg']",admin,23/02/2024,,1,302,0.1,0.32,14.18418925,100.6263919,,11863,1,2,1,1,1,1,1,1,4,2,13,13,11,1,1,1,1,1,2,12,1,3,2,12,1,7,3,1,4,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,1,6,4,1,1,68619,2,1,1,1,1,10,9,1,1,3,3,3,1,4,3,14.1843745,100.6268142,1,302,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™ - à¸«à¸™à¸­à¸‡à¹à¸„,54000,54100,1061
272,"['54100_54200_38104_1.jpg', '54100_54200_38104_2.jpg', '54100_54200_38104_3.jpg', '54100_54200_38104_4.jpg']",admin,23/02/2024,,1,302,0.1,0.42,14.18462412,100.6272021,,11863,1,2,1,1,1,1,1,1,4,2,13,13,11,1,1,1,1,1,2,12,1,3,2,12,1,7,3,1,4,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,1,6,4,1,1,68619,2,1,1,1,1,10,9,1,1,3,3,3,1,4,3,14.18480913,100.6276245,1,302,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™ - à¸«à¸™à¸­à¸‡à¹à¸„,54100,54200,1065
273,"['54200_54300_38105_1.jpg', '54200_54300_38105_2.jpg', '54200_54300_38105_3.jpg', '54200_54300_38105_4.jpg']",admin,23/02/2024,,1,302,0.1,0.52,14.18505774,100.6280129,,11863,1,2,1,1,1,1,1,1,4,2,13,13,11,1,1,1,1,1,2,12,1,3,2,12,1,7,3,1,4,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,1,6,4,1,1,68619,2,1,1,1,1,10,9,1,1,3,3,3,1,4,3,14.18524408,100.6284346,1,302,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™ - à¸«à¸™à¸­à¸‡à¹à¸„,54200,54300,1069
274,"['54300_54400_38106_1.jpg', '54300_54400_38106_2.jpg', '54300_54400_38106_3.jpg', '54300_54400_38106_4.jpg']",admin,23/02/2024,,1,302,0.1,0.62,14.18549267,100.6288232,,11863,1,2,1,1,1,1,1,1,4,2,13,13,11,1,1,1,1,1,2,12,1,3,2,1,1,4,1,1,4,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,6,2,6,4,1,1,68619,2,1,1,1,1,10,9,1,1,3,3,3,1,4,3,14.18567666,100.629246,1,302,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™ - à¸«à¸™à¸­à¸‡à¹à¸„,54300,54400,1073
275,"['54400_54500_38107_1.jpg', '54400_54500_38107_2.jpg', '54400_54500_38107_3.jpg', '54400_54500_38107_4.jpg']",admin,23/02/2024,,1,302,0.1,0.72,14.18592599,100.6296339,,11863,1,2,1,1,1,1,1,1,4,2,13,13,11,1,1,1,1,1,2,12,1,3,2,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,68619,2,1,1,1,1,10,9,1,1,3,3,3,1,4,3,14.18611108,100.6300564,1,302,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™ - à¸«à¸™à¸­à¸‡à¹à¸„,54400,54500,1077
276,"['54500_54600_38108_1.jpg', '54500_54600_38108_2.jpg', '54500_54600_38108_3.jpg', '54500_54600_38108_4.jpg']",admin,23/02/2024,,1,302,0.1,0.82,14.18636043,100.6304444,,11863,1,2,1,1,1,1,1,1,4,2,13,13,11,1,1,1,1,1,2,8,1,3,1,12,1,7,3,4,3,1,1,3,1,1,2,1,2,1,1,7,1,1,1,5,5,2,6,4,1,1,68619,2,1,1,1,1,10,9,1,1,3,3,3,1,4,3,14.18654622,100.6308664,1,302,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™ - à¸«à¸™à¸­à¸‡à¹à¸„,54500,54600,1081
277,"['54600_54700_38109_1.jpg', '54600_54700_38109_2.jpg', '54600_54700_38109_3.jpg', '54600_54700_38109_4.jpg']",admin,23/02/2024,,1,302,0.1,0.92,14.18679647,100.6312537,,11863,1,2,1,1,1,1,1,1,4,2,13,13,11,1,1,1,1,1,2,8,1,3,2,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,68619,2,1,1,1,1,10,9,1,1,3,3,3,1,4,3,14.18698288,100.6316756,1,302,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™ - à¸«à¸™à¸­à¸‡à¹à¸„,54600,54700,1085
278,"['54700_54800_38110_1.jpg', '54700_54800_38110_2.jpg', '54700_54800_38110_3.jpg', '54700_54800_38110_4.jpg']",admin,23/02/2024,,1,302,0.1,1.02,14.18723082,100.6320643,,11863,1,2,1,1,1,1,1,1,4,2,13,13,11,1,1,1,1,1,2,8,1,3,2,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,68619,2,1,1,1,1,10,9,1,1,3,3,3,1,4,3,14.18741636,100.6324865,1,302,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™ - à¸«à¸™à¸­à¸‡à¹à¸„,54700,54800,1089
279,"['54800_54900_38111_1.jpg', '54800_54900_38111_2.jpg', '54800_54900_38111_3.jpg', '54800_54900_38111_4.jpg']",admin,23/02/2024,,1,302,0.1,1.12,14.18766469,100.6328751,,11863,1,2,1,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,2,15,1,3,2,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,68619,2,1,1,1,1,10,9,1,1,3,3,3,1,4,3,14.18785034,100.6332971,1,302,à¸•à¹ˆà¸²à¸‡à¸£à¸°à¸”à¸±à¸šà¸šà¸²à¸‡à¸›à¸°à¸­à¸´à¸™ - à¸«à¸™à¸­à¸‡à¹à¸„,54800,54900,1093
